author,bookImage,bookname,classno,isbn,loanCnt,publication_year,publisher
트롤, https://bookthumb-phinf.pstatic.net/cover/124/953/12495377.jpg?type=m1&udate=20170829,(추리 천재) 엉덩이 탐정,833,9788937848247,3403,2016, 미래엔
무라카미하루키, http://image.aladin.co.kr/product/16750/96/cover/k282534566_2.jpg,기사단장 죽이기,833,9788954646123,2488,2017, 문학동네
트롤, http://image.aladin.co.kr/product/8920/23/cover/8937838753_1.jpg,(추리 천재) 엉덩이 탐정,833,9788937838750,3226,2016, 미래엔
최은영, https://bookthumb-phinf.pstatic.net/cover/107/859/10785953.jpg?type=m1&udate=20180717,쇼코의 미소,813,9788954641630,3211,2016, 문학동네
기욤뮈소, http://image.aladin.co.kr/product/12356/17/cover/8984373354_1.jpg,파리의 아파트,863,9788984373358,3038,2017, 밝은세상
히가시노게이고, http://image.aladin.co.kr/product/4745/51/cover/899098257x_2.jpg,가면산장 살인사건,833,9788990982575,2855,2014, 재인
히가시노게이고, https://image.aladin.co.kr/product/12455/85/cover/8972758426_1.jpg,그대 눈동자에 건배,833,9788972758426,2759,2017, 현대문학
히가시노게이고, http://image.aladin.co.kr/product/7288/55/cover/8972757578_1.jpg,라플라스의 마녀,833,9788972757573,2639,2016, 현대문학
문유석, https://bookthumb-phinf.pstatic.net/cover/095/957/09595780.jpg?type=m1&udate=20180717,개인주의자 선언,304,9788954637756,2938,2015, 문학동네
트롤, https://bookthumb-phinf.pstatic.net/cover/129/756/12975600.jpg?type=m1&udate=20180126,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,0,9791162332542,3418,2017, 아이세움
히가시노게이고, http://image.aladin.co.kr/product/11182/73/cover/8972758248_2.jpg,위험한 비너스,833,9788972758242,2251,2017, 현대문학
김신회, http://image.aladin.co.kr/product/12565/86/cover/k132532669_2.jpg,보노보노처럼 살다니 다행이야,818,9791130611853,2066,2017, 다산북스
무라카미하루키, http://image.aladin.co.kr/product/16750/96/cover/k202534566_2.jpg,기사단장 죽이기,833,9788954646130,2029,2017, 문학동네
프레드릭배크만, https://bookthumb-phinf.pstatic.net/cover/090/537/09053751.jpg?type=m1&udate=20180717,오베라는 남자,859,9791130605210,2358,2015, 다산북스
히가시노게이고, http://image.aladin.co.kr/product/10147/75/cover/8990982677_1.jpg,기린의 날개,833,9788990982674,2155,2017, 재인
안녕달, https://bookthumb-phinf.pstatic.net/cover/093/451/09345174.jpg?type=m1&udate=20180718,수박 수영장,813,9788936446819,2135,2015, 창비
이유남, https://bookthumb-phinf.pstatic.net/cover/124/953/12495395.jpg?type=m1&udate=20180131,엄마 반성문,818,9791185716541,2339,2017, 알피스페이스
설민석, http://image.aladin.co.kr/product/10016/32/cover/k512536564_2.jpg,(설민석의) 한국사 대모험,911,9791195794799,2665,0, 휴먼큐브
한동일, http://image.aladin.co.kr/product/11217/32/cover/896596220x_1.jpg,(지적이고 아름다운 삶을 위한) 라틴어 수업,792,9788965962205,2003,2017, 흐름출판
백영옥, https://bookthumb-phinf.pstatic.net/cover/108/239/10823927.jpg?type=m1&udate=20180331,빨강머리 앤이 하는 말,814,9788950965693,2231,2016, arte(아르테)
김윤나, https://image.aladin.co.kr/product/15652/80/cover/k282533034_1.jpg,(비울수록 사람을 더 채우는) 말그릇,189,9791185952987,2182,2017, 카시오페아
설민석, http://image.aladin.co.kr/product/10780/17/cover/k342530155_2.jpg,(설민석의) 한국사 대모험,911,9791196025847,2561,0, 휴먼큐브
설민석, http://image.aladin.co.kr/product/10227/84/cover/k782536886_2.jpg,(설민석의) 한국사 대모험,911,9791196025809,2557,0, 휴먼큐브
